Country,Region-Geo,Continent,Region,Year,IncomePerPerson,LifeExpectancy,PopulationTotal
Guadeloupe,America - Central,Central and South America,America,1956,5490.892639,56.106,244112
Guam,Oceania,Oceania,East Asia & Pacific,1956,,58.909,63718
Guatemala,America - Central,Central and South America,America,1956,5101.903465,43.454,3728613
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1956,21749.99864,,46277
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1956,1130.849928,33.979,3343673
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1956,1032.994306,,573864
Guyana,America - South,Central and South America,America,1956,4912.844537,57.69,498187
Haiti,America - Central,Central and South America,America,1956,3743.161453,39.789,3580755
Holy See,Europe - Southern,Europe,Europe & Central Asia,1956,,,910
Honduras,America - Central,Central and South America,America,1956,4382.400493,43.671,1768277
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1956,7013.198016,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1956,11075.44475,66.04,9868650
Iceland,Europe - Northern,Europe,Europe & Central Asia,1956,18978.0482,72.98,161597
India,Asia - Southern,Asia,South Asia,1956,1302.248932,38.578,414120476
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1956,1609.66902,41.404,83701632
Iran,Asia - Southern,Asia,Middle East & North Africa,1956,5369.914419,42.632,19904579
Iraq,Asia - Western,Asia,Middle East & North Africa,1956,12108.31035,42.963,6714083
Ireland,Europe - Northern,Europe,Europe & Central Asia,1956,11149.07433,69.01,2884992
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1956,12641.32465,,51376
Israel,Asia - Western,Asia,Middle East & North Africa,1956,10416.1104,67.223,1796115
Italy,Europe - Southern,Europe,Europe & Central Asia,1956,11916.50478,67.64,48401893
Jamaica,America - Central,Central and South America,America,1956,8440.992726,61.518,1559843
Japan,Asia - Eastern,Asia,East Asia & Pacific,1956,8117.676139,65.63,89261611
Jersey,Europe - Northern,Europe,Europe & Central Asia,1956,,,60413
Jordan,Asia - Western,Asia,Middle East & North Africa,1956,3835.052192,49.43,693790
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1956,8527.50124,56.659,8370674
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1956,1882.925143,43.894,7186225
Kiribati,Oceania,Oceania,East Asia & Pacific,1956,6192.534505,45.099,29649
Kuwait,Asia - Western,Asia,Middle East & North Africa,1956,237362.6006,56.813,202317
